dim0,dim1,tissue
75.23114,-17.02273,Lung
75.224625,-17.034231,Lung
-66.58052,96.01646,Pancreas
-66.49872,96.01302,Pancreas
-66.372604,96.13549,Pancreas
40.225857,-1.2433167,Pancreas
40.221123,-1.2390984,Pancreas
40.218548,-1.2388173,Pancreas
6.159695,67.598434,Breast
6.1641045,67.58919,Breast
6.166261,67.59785,Breast
-12.53863,94.065056,Stomach
-12.535963,94.06315,Stomach
-12.536745,94.06111,Stomach
47.733547,-0.11581132,Testis
47.772377,-0.11933123,Testis
47.7617,-0.067328624,Testis
53.98379,-69.85227,Control_HEK293T
42.257557,-78.79885,Control_HEK293T
126.47668,25.964441,Control_HEK293T
160.77394,36.980022,Control_HEK293T
-14.04345,-129.02211,Haematopoietic and Lymphoid
-13.819154,-129.53644,Haematopoietic and Lymphoid
-14.317091,-129.50755,Haematopoietic and Lymphoid
-25.131607,-125.91838,Haematopoietic and Lymphoid
-25.56092,-125.57901,Haematopoietic and Lymphoid
-24.653341,-125.799644,Haematopoietic and Lymphoid
12.976258,60.528553,Stomach
12.962902,60.95256,Stomach
13.443993,60.473595,Stomach
38.89777,-9.66902,Skin
38.77874,-10.150427,Skin
38.312634,-9.994959,Skin
-1.8206518,72.84146,Large Intestine
-1.4184854,72.7453,Large Intestine
-1.4236498,73.38862,Large Intestine
65.21155,-46.400867,Peripheral Nervous System
65.714134,-46.71536,Peripheral Nervous System
65.09404,-46.83758,Peripheral Nervous System
0.76601124,23.22328,Lung
0.23665385,23.16183,Lung
0.2790993,22.700037,Lung
-45.108963,-35.26625,Large Intestine
-44.459724,-35.47809,Large Intestine
-44.646694,-35.04616,Large Intestine
34.355915,-73.27779,Control_HEK293T
51.099728,-83.56876,Control_HEK293T
149.86932,30.781803,Control_HEK293T
158.1578,32.19294,Control_HEK293T
61.738075,-16.442677,Peripheral Nervous System
61.29953,-16.939312,Peripheral Nervous System
61.65113,-17.06551,Peripheral Nervous System
-80.77288,88.352104,Lung
-80.59475,87.735214,Lung
-80.88327,87.84307,Lung
36.150513,-5.0084033,Skin
36.51586,-4.5497804,Skin
36.771336,-4.961588,Skin
-20.3003,-132.2018,Haematopoietic and Lymphoid
-20.139421,-132.72932,Haematopoietic and Lymphoid
-19.723637,-132.18695,Haematopoietic and Lymphoid
18.718575,-0.36616704,Central Nervous System
18.714708,-0.3602388,Central Nervous System
18.716982,-0.3640101,Central Nervous System
2.9522338,26.94824,Lung
2.9839747,26.959045,Lung
2.9640229,26.947222,Lung
-9.772668,-129.65962,Haematopoietic and Lymphoid
-10.093128,-129.03558,Haematopoietic and Lymphoid
-9.684312,-129.14754,Haematopoietic and Lymphoid
85.493614,-43.569744,Lung
85.57379,-43.576004,Lung
85.59941,-43.575836,Lung
-28.75156,97.76749,Pancreas
-29.195414,97.94671,Pancreas
-28.879028,98.304634,Pancreas
